,name,score
0,Uncharted 2: Among Thieves,96
1,Call of Duty: Modern Warfare 2,94
2,Street Fighter IV,94
3,Call of Duty: Modern Warfare 2,94
4,Grand Theft Auto: Chinatown Wars,93
5,Street Fighter IV,93
6,Braid,93
7,Flipnote Studio,93
8,Forza Motorsport 3,92
9,Batman: Arkham Asylum,92
10,Metroid Prime Trilogy,91
11,FIFA Soccer 10,91
12,Assassin's Creed II,91
13,Peggle,91
14,Batman: Arkham Asylum,91
15,God of War Collection,91
16,Street Fighter IV,91
17,Killzone 2,91
18,Batman: Arkham Asylum,91
19,Dragon Age: Origins,91
20,Assassin's Creed II,90
21,Mario & Luigi: Bowser's Inside Story,90
22,Grand Theft Auto IV: The Lost and Damned,90
23,FIFA Soccer 10,90
24,Braid,90
25,MLB 09: The Show,90
26,Grand Theft Auto: Chinatown Wars,90
27,Empire: Total War,90
28,Wipeout HD Fury,89
29,Demon's Souls,89
30,The Beatles: Rock Band,89
31,Left 4 Dead 2,89
32,Left 4 Dead 2,89
33,Grand Theft Auto IV: The Ballad of Gay Tony,89
34,Guitar Hero 5,89
35,The Beatles: Rock Band,89
36,DiRT 2,89
37,Peggle,89
38,The Beatles: Rock Band,88
39,Shadow Complex,88
40,NHL 10,88
41,NHL 10,88
42,Tiger Woods PGA Tour 10,88
43,The Secret of Monkey Island: Special Edition,88
44,Fight Night Round 4,88
45,EVE Online: Special Edition,88
46,Plants vs. Zombies,87
47,Football Manager 2010,87
48,BlazBlue: Calamity Trigger,87
49,Burnout Paradise: The Ultimate Box,87
50,Critter Crunch,87
51,New Super Mario Bros. Wii,87
52,DJ Hero,87
53,Fight Night Round 4,87
54,The Legend of Zelda: Spirit Tracks,87
55,DiRT 2,87
56,Dragon Age: Origins,87
57,Little King's Story,87
58,DiRT 2,87
59,flower,87
60,LittleBigPlanet,87
61,PixelJunk Shooter,87
62,Ratchet & Clank Future: A Crack in Time,87
63,PixelJunk Monsters Deluxe,86
64,LostWinds: Winter of the Melodias,86
65,Boom Blox Bash Party,86
66,Might & Magic: Clash of Heroes,86
67,BlazBlue: Calamity Trigger,86
68,Resident Evil 5,86
69,Guitar Hero: Metallica,86
70,Dragon Age: Origins,86
71,The Sims 3,86
72,Trials HD,86
73,Punch-Out!!,86
74,Call of Duty: Modern Warfare 2,86
75,The Secret of Monkey Island: Special Edition,86
76,DJ Hero,86
77,Shatter,86
78,Guitar Hero 5,86
79,"Warhammer 40,000: Dawn of War II",85
80,Red Faction: Guerrilla,85
81,Madden NFL 10,85
82,LocoRoco 2,85
83,Madden NFL 10,85
84,Machinarium,85
85,Guitar Hero 5,85
86,Guitar Hero: Metallica,85
87,Red Faction: Guerrilla,85
88,Marvel vs. Capcom 2,85
89,Tetris,85
90,inFamous,85
91,Peggle: Dual Shot,84
