,name,scores_avg
0,#DRIVE,69.0
1,#IDARB,77.0
2,#KILLALLZOMBIES,53.0
3,'Splosion Man,84.0
4,.detuned,46.0
5,.hack//G.U. Last Recode,72.5
6,0 Day Attack on Earth,41.0
7,007 Legends,43.0
8,0RBITALIS,73.0
9,1-2-Switch,58.0
10,10 Second Ninja,72.0
11,10 Second Ninja X,79.0
12,100 Classic Books,70.0
13,1000 Tiny Claws,76.0
14,1001 Spikes,78.0
15,100ft Robot Golf,56.0
16,101-in-1 Explosive Megamix,46.0
17,101-in-1 Sports Party Megamix,41.0
18,11-11: Memories Retold,75.66666666666667
19,112 Operator,73.0
20,12 is Better Than 6,59.0
21,13 Sentinels: Aegis Rim,85.0
22,140,70.0
23,1950s Lawn Mower Kids,43.0
24,1954: Alcatraz,58.0
25,1979 Revolution: Black Friday,75.66666666666667
26,198X,67.33333333333333
27,2010 FIFA World Cup South Africa,76.0
28,2014 FIFA World Cup Brazil,73.5
29,2064: Read Only Memories,78.0
30,2064: Read Only Memories INTEGRAL,74.0
31,20XX,77.0
32,2Dark,62.333333333333336
33,3 on 3 NHL Arcade,65.0
34,3000th Duel,71.0
35,39 Days to Mars,71.0
36,3D After Burner II,81.0
37,3D Classics: Kid Icarus,77.0
38,3D Classics: Kirby's Adventure,77.0
39,3D Classics: TwinBee,68.0
40,3D Classics: Urban Champion,37.0
41,3D Classics: Xevious,56.0
42,3D Dot Game Heroes,77.0
43,3D Fantasy Zone II W,81.0
44,3D Gunstar Heroes,89.0
45,3D Out Run,87.0
46,3D Sonic the Hedgehog 2,87.0
47,3D Streets of Rage II,89.0
48,3D Thunder Blade,74.0
49,428: Shibuya Scramble,85.0
50,4PM,41.0
51,50 Cent: Blood on the Sand,71.5
52,60 Parsecs!,68.0
53,7 Days to Die,40.0
54,7554,41.0
55,7th Dragon III Code: VFD,76.0
56,8-Bit Adventure Anthology: Volume One,71.0
57,8-Bit Armies,69.0
58,8-Bit Hordes,63.0
59,80 DAYS,84.0
60,80 Days (2015),84.0
61,88 Heroes,72.0
62,88 Heroes: 98 Heroes Edition,65.0
63,9 Monkeys of Shaolin,70.75
64,911 Operator,68.0
65,99Bullets,74.0
66,99Vidas,61.0
67,A Bastard's Tale,48.0
68,A Bird Story,66.0
69,A Boy and His Blob,80.0
70,A Case of Distrust,77.0
71,A City Sleeps,61.0
72,A Fisherman's Tale,74.0
73,A Fistful of Gun,60.0
74,A Fold Apart,77.0
75,A Game of Dwarves,60.0
76,A Game of Thrones: Genesis,53.0
77,A Golden Wake,68.0
78,A Hat in Time,77.0
79,A Juggler's Tale,70.0
80,A Knight's Quest,60.5
81,A Little Golf Journey,77.0
82,A New Beginning - Final Cut,72.0
83,A Normal Lost Phone,72.0
84,A Pixel Story,73.5
85,A Plague Tale: Innocence,81.66666666666667
86,A Robot Named Fight!,71.0
87,A Rose in the Twilight,75.0
88,A Short Hike,85.0
89,A Space Shooter for 2 Bucks,81.0
90,A Story About My Uncle,73.0
91,A Total War Saga: TROY,75.0
92,A Total War Saga: Thrones of Britannia,75.0
93,A Valley Without Wind,54.0
94,A Virus Named TOM,65.0
95,A Way Out,78.33333333333333
96,A Witch's Tale,50.0
97,A World of Keflings,77.0
98,A-Train: All Aboard! Tourism,67.0
99,A.R.E.S. Extinction Agenda EX,66.0
100,A.W.: Phoenix Festa,55.0
101,ABZU,80.33333333333333
102,ACA NeoGeo: Metal Slug 3,76.0
103,ACA NeoGeo: Shock Troopers,70.0
104,ACORN Tactics,51.0
105,ADR1FT,60.0
106,AER: Memories of Old,70.75
107,AI War: Fleet Command,80.0
108,AI: The Somnium Files,83.0
109,AIPD - Artificial Intelligence Police Department,70.0
110,ALTDEUS: Beyond Chronos,78.0
111,AMID EVIL,85.0
112,AMY,29.0
113,AO International Tennis,58.0
114,AO Tennis 2,66.75
115,APB (All Points Bulletin),58.0
116,APB: Reloaded,56.0
117,AR-K Episode 3: The Great Escape,78.0
118,ARK Park,46.0
119,ARK: Survival Evolved,56.0
120,ARKANOID Live!,58.0
121,ARMS,77.0
